L0001,유선
L0002,무선
L0003,내부
L0004,외부
L0005,WEB
L0100,전체
L0101,발라드
L0102,댄스
L0103,R&B/소울
L0104,랩/힙합
L0105,락
L0106,일렉트로니카
L0107,트로트
L0108,블루스/포크
L0109,인디
L0110,국악
L0200,전체
L0201,팝
L0202,락
L0203,R&B/소울
L0204,랩/힙합
L0205,일렉트로니카
L0206,블루스/포크/컨트리
L0207,월드뮤직
L0208,중국음악
L0300,전체
L0301,드라마
L0302,한국영화
L0303,해외영화
L0304,애니메이션/게임
L0305,뮤지컬/공연
L0400,전체
L0401,팝
L0402,락
L0403,일렉트로니카
L0404,시부야케이
L0405,R&B/힙합
L0500,전체
L0501,정통
L0502,애시드/퓨전
L0503,라틴
L0600,전체
L0601,정통
L0602,크로스오버
L0603,오페라
L0604,실내악
L0605,성악/합창
L0606,협주곡
L0607,관현악
L0608,교향곡
L0609,팝페라
L0610,가곡
L0611,독주곡
L0701,뉴에이지
L0800,전체
L0801,국내CCM
L0802,국외CCM
L0900,전체
L0901,동요
L0902,태교/음악
L1001,가곡
L1002,민중가요
L1003,군가
L1004,국가
L1005,교과서
L1006,뮤직테라피
L1007,불교음악
L1008,캐롤
